smiles,SubstructureMatches,Min_N_O_filter,Frac_N_O,Covalent,SpecialMol,SeverityScore,SeverityComment
NC[C@H](CC(=O)O)c1ccc(Cl)cc1,no match,no match,0.21428571428571427,0,0,0,CLEAR
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,no match,no match,0.10526315789473684,0,0,0,CLEAR
CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,no match,no match,0.15,0,0,0,CLEAR
CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2,no match,no match,0.23809523809523808,0,0,0,CLEAR
CN(C)CCOC(=O)[C@H](c1ccccc1)C1(O)CCCC1,no match,no match,0.19047619047619047,0,0,0,CLEAR
CCN(CC)[C@@H](C)C(=O)c1ccccc1,no match,no match,0.13333333333333333,0,0,0,CLEAR
CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,no match,no match,0.15,0,0,0,CLEAR
COC(=O)CCc1ccc(OC[C@H](O)CNC(C)C)cc1,no match,no match,0.23809523809523808,0,0,0,CLEAR
C[C@H](C(=O)O)c1cccc(Oc2ccccc2)c1,no match,no match,0.16666666666666666,0,0,0,CLEAR
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,no match,no match,0.1111111111111111,0,0,0,CLEAR
CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,no match,no match,0.21739130434782608,0,0,0,CLEAR
COc1ccccc1OC[C@H](O)CO,no match,no match,0.2857142857142857,0,0,0,CLEAR
C[C@@H](N)Cc1ccc(O)cc1,no match,no match,0.18181818181818182,0,0,0,CLEAR
C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,no match,no match,0.20833333333333334,0,0,0,CLEAR
Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C,no match,no match,0.16666666666666666,0,0,0,CLEAR
Cc1cc(C)cc(OC[C@H]2CNC(=O)O2)c1,no match,no match,0.25,0,0,0,CLEAR
COC(=O)c1ccccc1O,no match,no match,0.2727272727272727,0,0,0,CLEAR
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,no match,no match,0.16666666666666666,0,0,0,CLEAR
COc1ccc(OC)c([C@H](O)CNC(=O)CN)c1,no match,no match,0.3333333333333333,0,0,0,CLEAR
CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1,no match,no match,0.15,0,0,0,CLEAR
Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,no match,no match,0.1,0,0,0,CLEAR
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,no match,no match,0.09523809523809523,0,0,0,CLEAR
CN(C)CC[C@@H](c1ccccc1)c1ccccn1,no match,no match,0.1111111111111111,0,0,0,CLEAR
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1,no match,no match,0.17391304347826086,0,0,0,CLEAR
