standard_inchi_key,canonical_smiles,mw,qed,no_ro5_violations,rtb,max_phase,clean_smiles,SubstructureMatches,Min_N_O_filter,Frac_N_O,Covalent,SpecialMol,SeverityScore,SeverityComment
QYRYFNHXARDNFZ-UHFFFAOYSA-N,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,313.87,0.90,0,5,4,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,no match,no match,0.15,0,0,0,CLEAR
KYYIDSXMWOZKMP-UHFFFAOYSA-N,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,263.38,0.88,0,4,4,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,no match,no match,0.15789473684210525,0,0,0,CLEAR
JFHJGXQFESYQGY-UHFFFAOYSA-N,COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,404.47,0.72,0,4,2,COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,no match,no match,0.26666666666666666,0,0,0,CLEAR
SGUAFYQXFOLMHL-ACJLOTCBSA-N,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,328.41,0.60,0,8,4,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,no match,no match,0.20833333333333334,0,0,0,CLEAR
ASUGUQWIHMTFJL-QGZVFWFLSA-N,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,392.39,0.60,0,6,2,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,no match,no match,0.25,0,0,0,CLEAR
COHYTHOBJLSHDF-BUHFOSPRSA-N,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,262.27,0.72,0,0,3,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,no match,no match,0.2,0,0,0,CLEAR
DJBNUMBKLMJRSA-UHFFFAOYSA-N,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,414.35,0.67,0,7,4,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,no match,no match,0.17857142857142858,0,0,0,CLEAR
WKEMJKQOLOHJLZ-UHFFFAOYSA-N,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,335.47,0.88,0,6,4,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,no match,no match,0.21739130434782608,0,0,0,CLEAR
NJMYODHXAKYRHW-BLLMUTORSA-N,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,434.53,0.63,0,5,2,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,no match,no match,0.1,0,0,0,CLEAR
MICLTPPSCUXHJT-UHFFFAOYSA-M,O=C(CCn1cnc2c(=O)[nH]cnc21)Nc1ccc(C(=O)[O-])cc1.[K+],365.39,0.64,0,5,2,O=C(CCn1cnc2c(=O)[nH]cnc21)Nc1ccc(C(=O)O)cc1,no match,no match,0.375,0,0,0,CLEAR
LZYWLEPSQNXESC-KUHUBIRLSA-N,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N[C@@H]1CCCNC1)O2,332.44,0.78,0,2,2,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N[C@@H]1CCCNC1)O2,no match,no match,0.20833333333333334,0,0,0,CLEAR
VWUPWEAFIOQCGF-UHFFFAOYSA-N,CC(O)C(=O)O.Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,301.30,0.78,0,1,4,CC(O)C(=O)O.Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,no match,no match,0.3181818181818182,0,0,0,CLEAR
HCFDWZZGGLSKEP-UHFFFAOYSA-N,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,270.38,0.81,0,6,4,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,no match,no match,0.15,0,0,0,CLEAR
YOZBGTLTNGAVFU-UHFFFAOYSA-N,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,352.35,0.65,0,5,3,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,no match,no match,0.2692307692307692,0,0,0,CLEAR
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,CNCCC=C1c2ccccc2CCc2ccccc21,263.38,0.83,0,3,4,CNCCC=C1c2ccccc2CCc2ccccc21,no match,no match,0.05,0,0,0,CLEAR
KATNPMSTHHZOTK-UHFFFAOYSA-N,Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1.O=P(O)(O)O,633.52,0.33,2,6,2,Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1,no match,no match,0.16216216216216217,0,0,0,CLEAR
VTZPAJGVRWKMAG-UHFFFAOYSA-N,Oc1ccc2c(c1)C(Cc1c[nH]cn1)CC2,214.27,0.81,0,2,2,Oc1ccc2c(c1)C(Cc1c[nH]cn1)CC2,no match,no match,0.1875,0,0,0,CLEAR
