standard_inchi_key,canonical_smiles,mw,qed,no_ro5_violations,rtb,max_phase,clean_smiles,SubstructureMatches,Min_N_O_filter,Frac_N_O,Covalent,SpecialMol,SeverityScore,SeverityComment
RDALZZCKQFLGJP-UHFFFAOYSA-N,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,413.48,0.52,0,5,1,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,no match,no match,0.22580645161290322,0,0,0,CLEAR
IEPMBYOIQGCVHO-UHFFFAOYSA-N,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl,395.86,0.88,0,3,4,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,no match,no match,0.23076923076923078,0,0,0,CLEAR
WEJDYJKJPUPMLH-UHFFFAOYSA-N,CC(C)(N)Cc1ccc(Cl)cc1.Cl,220.14,0.75,0,2,4,CC(C)(N)Cc1ccc(Cl)cc1,no match,no match,0.08333333333333333,0,0,0,CLEAR
KZFFYEPYCVDOGE-LJQANCHMSA-N,O=C([C@H](CO)c1ccccc1)N1CC2=C(C1)CN(S(=O)(=O)c1cnc3c(c1)OCCO3)C2,457.51,0.66,0,5,2,O=C([C@H](CO)c1ccccc1)N1CC2=C(C1)CN(S(=O)(=O)c1cnc3c(c1)OCCO3)C2,no match,no match,0.28125,0,0,0,CLEAR
PGYPOBZJRVSMDS-UHFFFAOYSA-N,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,513.51,0.52,1,7,4,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,no match,no match,0.11764705882352941,0,0,0,CLEAR
QSUSKMBNZQHHPA-UHFFFAOYSA-N,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1,425.51,0.42,1,7,1,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1,no match,no match,0.125,0,0,0,CLEAR
VQWGYPVNVICKFC-UHFFFAOYSA-N,NC(=O)c1cnc2n1CCc1ccccc1C21CCNCC1,296.37,0.83,0,1,2,NC(=O)c1cnc2n1CCc1ccccc1C21CCNCC1,no match,no match,0.22727272727272727,0,0,0,CLEAR
PHXJVRSECIGDHY-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,532.57,0.39,1,4,4,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,no match,no match,0.1794871794871795,0,0,0,CLEAR
NVPXUFQLKWKBHK-UHFFFAOYSA-N,CC(C)OC(=O)COc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)c1,520.61,0.28,1,11,2,CC(C)OC(=O)COc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)c1,no match,no match,0.24324324324324326,0,0,0,CLEAR
NHSNLUIMAQQXGR-UHFFFAOYSA-N,COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1.Cl,512.07,0.30,1,8,2,COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,no match,no match,0.14705882352941177,0,0,0,CLEAR
OTVAEFIXJLOWRX-NXEZZACHSA-N,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,356.23,0.64,0,6,1,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,no match,no match,0.2857142857142857,0,0,0,CLEAR
JURKNVYFZMSNLP-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,275.40,0.68,0,3,4,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,no match,no match,0.047619047619047616,0,0,0,CLEAR
QHADVLVFMKEIIP-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,552.54,0.27,2,6,2,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,no match,no match,0.21951219512195122,0,0,0,CLEAR
LIOLIMKSCNQPLV-UHFFFAOYSA-N,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,412.43,0.49,0,4,4,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,no match,no match,0.22580645161290322,0,0,0,CLEAR
HJQILFPVRNHTIG-UHFFFAOYSA-N,Cc1cccc(Oc2cnc(O)nc2)c1,202.21,0.81,0,2,2,Cc1cccc(Oc2cnc(O)nc2)c1,no match,no match,0.26666666666666666,0,0,0,CLEAR
HCYFGRCYSCXKNQ-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,238.20,0.69,0,2,4,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,no match,no match,0.47058823529411764,0,0,0,CLEAR
WSXKZIDINJKWPM-IBGZLQDMSA-N,CNC(C)CCC=C(C)C.CNC(C)CCC=C(C)C.O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,492.65,0.59,0,4,4,CNC(C)CCC=C(C)C.CNC(C)CCC=C(C)C.O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,no match,no match,0.29411764705882354,0,0,0,CLEAR
UILOTUUZKGTYFQ-UHFFFAOYSA-N,CC(=O)O.NCc1ccc(S(N)(=O)=O)cc1,246.29,0.67,0,2,4,NCc1ccc(S(N)(=O)=O)cc1,no match,no match,0.3333333333333333,0,0,0,CLEAR
GNMUEVRJHCWKTO-FQEVSTJZSA-N,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,492.00,0.37,1,4,2,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,no match,no match,0.20588235294117646,0,0,0,CLEAR
OZPFIJIOIVJZMN-SFHVURJKSA-N,CNC(=O)c1ccc2cc([C@@]3(O)CCn4cncc43)ccc2c1,307.35,0.76,0,2,3,CNC(=O)c1ccc2cc([C@@]3(O)CCn4cncc43)ccc2c1,no match,no match,0.21739130434782608,0,0,0,CLEAR
VGYFMXBACGZSIL-MCBHFWOFSA-N,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,421.47,0.50,0,8,4,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,no match,no match,0.16129032258064516,0,0,0,CLEAR
IUSFTUWHKCSCDY-BHDTVMLSSA-N,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.O=C(O)CC(O)C(=O)O,548.61,0.68,0,6,4,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.O=C(O)CC(O)C(=O)O,no match,no match,0.2894736842105263,0,0,0,CLEAR
IYETZZCWLLUHIJ-UTONKHPSSA-N,C#CCN(C)[C@H](C)Cc1ccccc1.Cl,223.75,0.65,0,4,4,C#CCN(C)[C@H](C)Cc1ccccc1,no match,no match,0.07142857142857142,0,0,0,CLEAR
QPUVKSKJCNGSGT-UHFFFAOYSA-N,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OCC)c1,351.44,0.57,0,11,1,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OCC)c1,no match,no match,0.24,0,0,0,CLEAR
HDACQVRGBOVJII-JBDAPHQKSA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,416.52,0.60,0,9,4,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,no match,no match,0.23333333333333334,0,0,0,CLEAR
VOVZXURTCKPRDQ-CQSZACIVSA-N,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,449.85,0.50,0,6,3,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,no match,no match,0.25806451612903225,0,0,0,CLEAR
JNAHVYVRKWKWKQ-CYBMUJFWSA-N,C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1,244.30,0.74,0,2,3,C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1,no match,no match,0.2777777777777778,0,0,0,CLEAR
HTQMVQVXFRQIKW-UHFFFAOYSA-N,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,440.46,0.39,0,7,3,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,no match,no match,0.2727272727272727,0,0,0,CLEAR
INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,259.35,0.84,0,6,4,COc1cc(NC(C)CCCN)c2ncccc2c1,no match,no match,0.21052631578947367,0,0,0,CLEAR
VRQMAABPASPXMW-UHFFFAOYSA-N,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,463.58,0.47,0,8,2,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,no match,no match,0.23529411764705882,0,0,0,CLEAR
FJHBVJOVLFPMQE-QFIPXVFZSA-N,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,392.41,0.51,0,2,2,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,no match,no match,0.2413793103448276,0,0,0,CLEAR
ZPMVNZLARAEGHB-UHFFFAOYSA-N,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl,323.87,0.58,0,0,4,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,no match,no match,0.045454545454545456,0,0,0,CLEAR
COKMIXFXJJXBQG-NRFANRHFSA-N,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,440.61,0.38,0,14,4,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,no match,no match,0.23333333333333334,0,0,0,CLEAR
PCHPORCSPXIHLZ-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,291.82,0.78,0,6,4,CN(C)CCOC(c1ccccc1)c1ccccc1,no match,no match,0.10526315789473684,0,0,0,CLEAR
WQVZLXWQESQGIF-WJKBNZMCSA-N,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1.Cl,364.87,0.60,0,8,4,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,no match,no match,0.20833333333333334,0,0,0,CLEAR
VTLNPNNUIJHJQB-UHFFFAOYSA-N,Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,359.47,0.67,0,9,2,Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,no match,no match,0.2692307692307692,0,0,0,CLEAR
MTHORRSSURHQPZ-UHFFFAOYSA-N,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,324.38,0.75,0,6,2,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,no match,no match,0.20833333333333334,0,0,0,CLEAR
WTDWVLJJJOTABN-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12,446.50,0.58,0,7,2,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12,no match,no match,0.22580645161290322,0,0,0,CLEAR
OBWASQILIWPZMG-QZMOQZSNSA-N,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,450.92,0.53,0,6,4,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,no match,no match,0.22580645161290322,0,0,0,CLEAR
BALLNEJQLSTPIO-UHFFFAOYSA-N,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,393.40,0.55,0,5,3,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,no match,no match,0.27586206896551724,0,0,0,CLEAR
HEMJJKBWTPKOJG-UHFFFAOYSA-N,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.34,0.78,0,6,4,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,no match,no match,0.16666666666666666,0,0,0,CLEAR
XEAOPVUAMONVLA-QGZVFWFLSA-N,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,520.89,0.43,1,9,2,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,no match,no match,0.23529411764705882,0,0,0,CLEAR
IIBRYYCFSIBSFT-UHFFFAOYSA-N,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc(OC)c(OCC)c1,482.58,0.29,1,9,1,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc(OC)c(OCC)c1,no match,no match,0.16666666666666666,0,0,0,CLEAR
DFJSJLGUIXFDJP-UHFFFAOYSA-N,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,473.94,0.54,0,7,2,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,no match,no match,0.24242424242424243,0,0,0,CLEAR
XYGVIBXOJOOCFR-BTJKTKAUSA-N,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.O=C(O)/C=C\C(=O)O,441.85,0.65,0,1,4,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,no match,no match,0.13043478260869565,0,0,0,CLEAR
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,469.55,0.32,1,3,3,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,no match,no match,0.16666666666666666,0,0,0,CLEAR
XSMSNFMDVXXHGJ-UHFFFAOYSA-N,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,411.47,0.47,0,4,2,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,no match,no match,0.25806451612903225,0,0,0,CLEAR
SPCMQFLNOVTUBM-UHFFFAOYSA-N,CN(C)c1ccc2c(c1)Sc1cc(N(C)C)ccc1N2.CS(=O)(=O)O.CS(=O)(=O)O,477.63,0.77,0,2,3,CN(C)c1ccc2c(c1)Sc1cc(N(C)C)ccc1N2,no match,no match,0.15,0,0,0,CLEAR
VLYWMPOKSSWJAL-UHFFFAOYSA-N,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,280.31,0.80,0,4,4,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,no match,no match,0.3684210526315789,0,0,0,CLEAR
KQKPFRSPSRPDEB-UHFFFAOYSA-N,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,295.41,0.84,0,6,4,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,no match,no match,0.25,0,0,0,CLEAR
FEJVSJIALLTFRP-LJQANCHMSA-N,COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1,410.43,0.57,0,9,3,COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1,no match,no match,0.26666666666666666,0,0,0,CLEAR
FOPALECPEUVCTL-QMMMGPOBSA-N,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O,241.29,0.75,0,4,2,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O,no match,no match,0.29411764705882354,0,0,0,CLEAR
JRMGHBVACUJCRP-BTJKTKAUSA-N,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1.O=C(O)/C=C\C(=O)O,566.59,0.37,1,8,3,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,no match,no match,0.21212121212121213,0,0,0,CLEAR
JDZOTSLZMQDFLG-BTJKTKAUSA-N,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O,393.57,0.74,1,4,4,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,no match,no match,0.05,0,0,0,CLEAR
LNHWXBUNXOXMRL-VWLOTQADSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C,433.51,0.47,0,5,3,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C,no match,no match,0.21875,0,0,0,CLEAR
PUKBOVABABRILL-YZNIXAGQSA-N,Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,581.65,0.29,2,6,4,Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,no match,no match,0.11904761904761904,0,0,0,CLEAR
GGUSQTSTQSHJAH-UHFFFAOYSA-N,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,347.86,0.86,0,5,2,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,no match,no match,0.08333333333333333,0,0,0,CLEAR
OYFJQPXVCSSHAI-QFPUQLAESA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O,492.53,0.64,0,9,4,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,no match,no match,0.25925925925925924,0,0,0,CLEAR
JWEXHQAEWHKGCW-UHFFFAOYSA-N,Cl.OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,441.90,0.69,0,6,4,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,no match,no match,0.1724137931034483,0,0,0,CLEAR
OTFDPNXIVHBTKW-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl,364.90,0.78,0,8,3,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,no match,no match,0.2727272727272727,0,0,0,CLEAR
HTMIBDQKFHUPSX-UHFFFAOYSA-N,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,296.44,0.82,0,2,4,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,no match,no match,0.09523809523809523,0,0,0,CLEAR
STTADZBLEUMJRG-IKNOHUQMSA-N,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,370.33,0.78,0,1,4,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,no match,no match,0.1,0,0,0,CLEAR
FIKPXCOQUIZNHB-WDEREUQCSA-N,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,355.37,0.65,0,0,1,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,no match,no match,0.2692307692307692,0,0,0,CLEAR
OANCEOSLKSTLTA-REWPJTCUSA-N,CN(C)C(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1ccc(O)c(CCO)c1)CC2,428.53,0.48,0,9,2,CN(C)C(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1ccc(O)c(CCO)c1)CC2,no match,no match,0.22580645161290322,0,0,0,CLEAR
DKYWVDODHFEZIM-NSHDSACASA-N,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.29,0.85,0,4,4,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,no match,no match,0.15789473684210525,0,0,0,CLEAR
DMJWENQHWZZWDF-PKOBYXMFSA-N,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,313.83,0.79,0,0,3,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,no match,no match,0.09090909090909091,0,0,0,CLEAR
