smiles_i,smiles_j,rater_14,rater_4,rater_6,rater_9,rater_7,rater_10,rater_12,rater_2,rater_8,rater_11,rater_0,rater_13,rater_3,rater_1
C#Cc1cc(-c2nc3ccc(F)cc3s2)ccc1N,Cc1cccc2nc(N3CCN(C)CC3)nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
O=[N+]([O-])c1cccc(C=Cc2nc3cc([N+](=O)[O-])ccc3[nH]2)c1,CCSC[C@@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
O=C(CO)Nc1cccc(-c2cnc3ccccc3n2)c1,O=C(Nc1cccc(CN2CCC(C(=O)NC3CCc4ccccc43)CC2)c1)c1ccc(Cl)cc1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
O=C(NCCN1CCOCC1)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,O=S(=O)(c1ccccc1Cl)c1cn(C2CCCNC2)c2ncccc12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
O=C(O)c1cc(Oc2cccc(CCNC[C@H](O)c3cccnc3)c2)ccc1F,N#CC(=C(N)Sc1ccccc1N)c1cccc(C(O)c2ccccc2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O=C(O)c1cc(Oc2cccc(CCNC[C@H](O)c3cccnc3)c2)ccc1F,CCCCCC(=O)NC1=NN(C)c2ncnc3c2c1cn3[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1cncc(CCNc2nc(-c3cccc4[nH]ncc34)cc(N3CCOCC3)n2)c1,O=S(=O)(C=Cc1ccc(F)cc1F)Cc1ccc(Nc2ncnc3ccc(Br)cc23)cc1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1,COc1ccc(C(=O)C(C(=O)CCC(=O)Nc2ccc(Cl)c(Cl)c2)c2ccc(OC)cc2)cc1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1,COc1ccc(C(=O)C(C(=O)CCC(=O)Nc2ccc(Cl)c(Cl)c2)c2ccc(OC)cc2)cc1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NC(=O)c1ccc(O)c2[nH]c(Cc3ccccc3)nc12,O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1ccc(N2CCOCC2)c(OCCO)c1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
