fragment,avg_score,count
[5*]N1CCCn2nc([14*])cc21,-23.744020462036133,1
[5*]N1CCOc2ccccc21,-23.744020462036133,1
[16*]c1c(C)oc2ccccc12,-23.689685821533203,1
[14*]c1ncnc2c1nnn2C,-22.883697509765625,1
[5*]N1CCC2(CC1)COCCN2[5*],-22.17862319946289,2
[14*]c1nn2c(=O)c(C)nnc2s1,-22.159679412841797,1
[5*]N1CCC2(CC1)COC([13*])C2,-21.811023712158203,1
[5*]N1CCc2ncnc(C)c2CC1,-21.72797393798828,1
[5*]N1C[C@@H]2C[C@H]([15*])CN2C(=O)[C@@H]1C,-20.93937110900879,1
[4*]C[C@H](C)O,-20.818126678466797,1
[1*]C(=O)[C@]([4*])(C)CC,-20.607507705688477,1
[9*]n1ccc2c([14*])ncnc21,-20.596628189086914,1
[14*]c1nc2ccc(F)cc2s1,-20.59247589111328,1
[15*]C1CC12CCC(F)(F)CC2,-20.446651458740234,1
[13*][C@@H]1Cc2nc[nH]c2CN1,-20.4454402923584,1
[14*]c1cc2nccnc2c([14*])n1,-20.432771682739258,1
[15*][C@@H]1CNCCC1(F)F,-20.432771682739258,1
[15*][C@]1(F)CCOC1,-19.94219970703125,1
[5*]N1CCC(F)(F)C2(CCN([5*])C2)C1,-19.5440673828125,1
[5*]N1Cc2ccnn2CC([15*])C1,-19.479206085205078,1
[1*]C(=O)C1(N2CCC2=O)C(=O)Nc2ccccc21,-19.31220245361328,1
[5*]N1C[C@@H]([15*])C[C@@H]1[13*],-18.90790557861328,1
[13*][C@H]1Cc2ccc(S(C)(=O)=O)cc2CN1,-18.885452270507812,1
[14*]c1nc2ccc(C3=NNC(=O)CC3[15*])cc2o1,-18.885223388671875,1
[14*]c1ncnc2c1CCC2,-18.8851318359375,1
[9*]n1c([14*])nc2c(Cl)ncnc21,-18.780420303344727,1
CN1C(=O)CC[C@@H]2c3ccc(F)cc3CC[C@@H]21,-18.77387046813965,1
[5*]N1CCC2(CC1)C(=O)N(C)c1c(F)cccc12,-18.568347930908203,1
[5*]N1CC(C)(C)c2ncc([16*])cc21,-18.465538024902344,1
[5*]N1C[C@@H](C)NC[C@@H]1[13*],-18.465538024902344,1
[14*]c1nc(C)n2ccccc12,-18.40741729736328,1
[1*]C(=O)[C@@H]([4*])CCCN,-18.326080322265625,1
[4*][C@H](C)C1=NCCN1,-18.278261184692383,1
[14*]c1sc2c(c1[16*])CC(C)(C)NC2(C)C,-18.253009796142578,1
[5*]N1CCOCC([15*])C1,-18.238941192626953,1
[9*]n1nc(C)nc1C,-18.128437042236328,2
[10*]N1CC2(CCOC2)CCC1=O,-17.692882537841797,1
[15*]C1CC([15*])C1([15*])[15*],-17.662639617919922,1
[13*]C1CC([15*])CO1,-17.609336853027344,1
