fragment,avg_score,count
[9*]n1cnc2cc3c(N)ncnc3cc21,-17.609336853027344,1
[14*]c1nnc(C)c([14*])n1,-17.579669952392578,1
[5*]N1CCOC2CCCCC21,-17.54142189025879,1
[1*]C(=O)[C@@H](O)[C@H]([8*])O,-17.473352432250977,1
[13*]C1Cc2cccc(O)c2C(=O)O1,-17.473352432250977,1
[4*]C([8*])CC(C)C,-17.473352432250977,1
[1*]C(=O)CN1C(=O)C([13*])Oc2ccc(C)cc21,-17.461563110351562,1
[14*]c1nnc(C)n1C,-17.447261810302734,1
[14*]c1n[nH]c(N)n1,-17.396821975708008,1
[14*]c1nc(C)cc(O)n1,-17.30429458618164,1
[9*]n1cnc2c(S)ncnc21,-17.214345932006836,1
[5*]N1C[C@@H]2OCC(=O)N([10*])[C@@H]2C1,-17.11444854736328,4
[5*]N1CC[C@]([15*])(O)[C@H](C)C1,-17.1049747467041,1
[9*]n1cnc2ccc(Br)cc2c1=O,-17.04529571533203,1
[5*]N1CCC2(CCCC2)CC1,-16.995010375976562,1
[5*]N1CCCC2(CCN([10*])C2=O)C1,-16.945049285888672,1
[14*]c1n[nH]c2c1C(O)(C(F)(F)F)CC(=O)N2,-16.8431396484375,1
[1*]C(=O)C([8*])CCC,-16.751567840576172,1
[14*]c1cnc(C)cn1,-16.7502498626709,2
[15*][C@@H]1C[C@H]2CC[C@@H]1C2,-16.69540023803711,2
[14*]c1nc2cc(F)cc(F)c2[nH]1,-16.694969177246094,1
[9*]n1c(=O)n(C)c(=O)c2[nH]c(Cl)nc21,-16.687843322753906,1
[16*]c1cc(F)cc2ccoc12,-16.685922622680664,1
[4*][C@H]([8*])C(C)(C)CO,-16.685922622680664,1
[9*]n1cnc2cc(F)ccc21,-16.639619827270508,1
[5*]N1CCOc2c(N)cccc21,-16.632831573486328,1
[14*]c1cc(C)nc2c([16*])c(C)nn12,-16.608919779459637,3
[5*]N1CCC2(CC1)CN([5*])CCO2,-16.387481689453125,1
[5*]N1CCc2c(Cl)cccc21,-16.243019104003906,1
[5*]N1CCC2(CC1)CC([15*])CO2,-16.229921340942383,2
[5*]N1CCN([5*])C(C)C1,-16.04450798034668,1
[15*][C@H]1CC[C@@H](C)CC1,-15.9479398727417,1
[5*]N1C2CCCC1CC([15*])C2,-15.9479398727417,1
[5*]N1CC[C@@H]2CCC[C@@H]21,-15.833903312683105,1
[5*]N1CCC2(CC1)NCCc1[nH]cnc12,-15.789876937866211,2
[16*]c1cccc2c1CCCC21NC(=O)NC1=O,-15.7262544631958,1
[16*]c1cnoc1C,-15.719732284545898,1
[5*]N1C[C@H]([15*])[C@H]2COC[C@H]21,-15.719732284545898,1
[14*]c1sc2nc(C)ccc2c1N,-15.717316627502441,1
[5*]N1CC[N+](C)(C)CC1,-15.691790580749512,1
[5*]N1CCC2(CC1)CC(O)(C#Cc1cccc(C)c1)CO2,-15.663947105407715,1
[5*]N1C[C@@H]([15*])[C@H](O)C1,-15.616311073303223,1
[4*][C@@H](C)C(N)=O,-15.6112642288208,1
[16*]c1cnc2[nH]cc(C)c2c1,-15.610753059387207,1
[14*]c1nc([14*])c2nc[nH]c2n1,-15.577093124389648,1
[12*]S(=O)(=O)c1ccc([16*])c(Cl)c1,-15.549603462219238,1
[13*]C1CC(c2ccc([16*])cc2)=NO1,-15.494447708129883,1
[5*]N1CCCn2nnc([14*])c2C1,-15.493042945861816,2
[1*]C(=O)[C@@H](N)[C@H]([8*])C,-15.487027168273926,1
[5*]N1CC([C@H]2CCCN([5*])C2)C1,-15.478266716003418,1
[9*]n1nc(C)c2ncc([14*])nc21,-15.478266716003418,1
[5*]N1C[C@H]([15*])C2(CC2)C1,-15.413057327270508,1
[12*]S(=O)(=O)c1ccc2cc(Cl)ccc2c1,-15.373645782470703,1
[13*][C@H]1NCC[C@@H]1O,-15.360594749450684,1
[14*]c1cc2c([14*])ncnc2[nH]1,-15.355500221252441,1
[16*]c1ccc(S(F)(F)F)cc1,-15.355500221252441,1
[10*]N1CC(=O)N(C)c2ccc(Cl)cc2C1=O,-15.342527389526367,1
[15*][C@@H]1C[C@H]2O[C@@H]3C=C(C)CC[C@]3(C)[C@]1(C)C2=C,-15.329651832580566,1
[13*]C1CC(c2cccc([16*])c2)=NO1,-15.26955795288086,1
[4*]C([4*])[8*],-15.21977710723877,1
[10*]N1C(=O)N(C)C(=O)C([15*])C1N,-15.203011512756348,1
[15*][C@@H]1CC[C@@H]([15*])C1,-15.158958435058594,1
[13*][C@@]1(C)N=C(N)OC[C@@H]1F,-15.074560165405273,1
[14*]c1ncc(C#N)cc1Cl,-15.074560165405273,1
[14*]c1cnc(N)c(C)n1,-15.054814338684082,1
[16*]c1cc2c(cc1[16*])N1C(=NNC(=O)[C@@H]1C)CO2,-15.035611152648926,1
O=c1[nH]cnc2c1C(c1ccccc1)c1ccc(O)cc1O2,-15.02049446105957,1
[5*]N1C[C@@H]2C[C@H]([15*])[C@H](C1)O2,-14.966102600097656,1
[5*]N1CCC([15*])(C)CC1,-14.929113388061523,2
[1*]C(=O)C1(O)CCc2cccnc21,-14.872684478759766,1
[5*]N1CCOC(C)(C)C1,-14.849318504333496,1
[12*]S(=O)(=O)c1ccc2c(c1)OCCCO2,-14.837058067321777,1
[14*]c1cc(=O)n(C)c(=O)n1C,-14.828499794006348,1
[1*]C(=O)C([8*])C#N,-14.793359756469727,1
[8*]CCCCC(O)C(F)(F)C(F)(F)F,-14.747878074645996,1
[14*]c1cc2n(n1)CCCO2,-14.747289657592773,1
[13*]C1([13*])COCC(N)=N1,-14.7041654586792,1
[14*]c1cc(Br)co1,-14.7041654586792,1
[5*]N1CC[C@H]([15*])[C@@H](O)C1,-14.699848175048828,1
[4*]CC1CN([5*])Cc2nnn(C)c21,-14.699602127075195,1
[1*]C(=O)CC1=NCCN1,-14.659993171691895,1
[8*]CCCC#C,-14.643481254577637,1
[5*]N1CCCC1([13*])C,-14.641322135925293,2
[14*]c1nc(O)c2cc(Cl)ccc2n1,-14.614481925964355,1
[9*]n1nc([14*])c2c1CC[C@H]([15*])C2,-14.598724365234375,1
[5*]N1CCc2ncc([14*])n2CC1,-14.593241691589355,2
[9*]n1c(C)nc2ccc([14*])nc2c1=O,-14.556412696838379,1
[4*]C[C@H]([8*])C(C)C,-14.45980167388916,1
[4*]CC(C)/N=C/c1cc(I)cc(I)c1O,-14.455103874206543,1
[16*]c1c[nH]c2c(=O)[nH]cnc12,-14.43327522277832,1
[16*]c1cccc2c1CNCC2,-14.428099632263184,1
[9*]n1ccc2c(C)ncnc21,-14.428099632263184,1
[8*]C[C@@H](O)CC,-14.424839973449707,1
[1*]C(=O)[C@@H]([4*])CC,-14.392683029174805,1
[14*]c1noc2ncnc(N)c12,-14.391744613647461,1
[9*]n1c([14*])nc2c(N)ncnc21,-14.384653091430664,4
[14*]c1nnsc1S(C)(=O)=O,-14.380005836486816,1
[13*][C@@H]1NC(=O)[C@@H]2C[C@H]([15*])CN2C1=O,-14.359861373901367,1
[16*]c1ccc2c(Cl)cc(O)nc2c1,-14.348483085632324,1
[8*]C(C)CCC,-14.320415496826172,1
[9*]n1c([14*])nc2c([14*])nccc21,-14.320415496826172,1
[10*]N1Cc2cc([16*])cc([16*])c2C1=O,-14.310301780700684,1
[5*]N1C[C@@H](C)N(C)[C@@H](C)C1,-14.294706344604492,1
[16*]c1cc(O)c([16*])c2cc(O)c(C)cc12,-14.193982124328613,1
[1*]C(=O)C1=C2Nc3ccccc3[C@]23CCN2C[C@@H]([15*])[C@H]1C[C@@H]23,-14.148924827575684,1
[1*]C(=O)[C@H]([4*])CCC[8*],-14.133095741271973,1
[1*]C(=O)[C@H]1CC2(CCN([5*])CC2)c2ccccc21,-14.133095741271973,1
[14*]c1nc(C)cc(N)n1,-14.123454093933105,1
[1*]C(=O)[C@@H]([4*])CCCCCC(=O)NO,-14.088547706604004,1
[14*]c1cc([16*])c2nnc(C)n2n1,-14.080229759216309,1
[14*]c1ncc2c(n1)-c1c(c([14*])nn1C)CC2,-14.054454803466797,1
[16*]c1cccccc1=O,-14.022854804992676,1
[13*][C@@H]1OC[C@@H](O)[C@H]1O,-14.014561653137207,1
[5*]N1CCC2(CC1)NC(=O)c1ccccc12,-14.011544227600098,1
[5*]N1CCC2(C1)NC(=O)NC2=O,-14.0057954788208,1
[5*]N1C[C@H]2CC[C@@]3(N=C(C)N([10*])C3=O)[C@H]2C1,-13.969573020935059,1
[8*]CC(C)(O)C(F)(F)F,-13.94939136505127,1
[16*]c1ccc2c(c1)CC(N)c1n[nH]c(=O)n1-2,-13.91385555267334,1
[14*]c1[nH]nc(N)c1[16*],-13.8887357711792,1
Cn1c(=O)cc(NNc2ccc(Cl)c(Cl)c2)[nH]c1=O,-13.856343269348145,1
[5*]N1CCc2[nH]cnc2C1c1ccccn1,-13.837267875671387,1
[13*][C@@H]1COC(=O)N1,-13.737021446228027,1
[14*]c1[nH]c2cc(F)cc3c2c1CCNC3=O,-13.699199676513672,1
[16*]c1ccc2c(c1)N(C)CCO2,-13.676136016845703,1
[5*]N1CCC2(CC1)Nc1cc(Cl)ccc1-n1cccc12,-13.642813682556152,1
[5*]N1Cc2cc([16*])ccc2-n2nncc2C1,-13.64189624786377,1
[14*]c1nc2ccc(F)nc2o1,-13.599532127380371,1
[16*]c1cnc2c(ccn2C)c1,-13.599532127380371,1
[5*]N1CCOC2(CCC2)C1,-13.499107360839844,1
[5*]N1C([13*])C(=O)c2[nH]ncc2C1C1CC1,-13.470820426940918,1
[14*]c1cnns1,-13.456808090209961,2
[9*]n1ccc2c(C)nn(C)c2c1=O,-13.456806182861328,1
[9*]n1nc(C)c2ccccc2c1=O,-13.435331344604492,1
[16*]c1c(C)[nH]c2c([16*])ccc([16*])c2c1=O,-13.423815727233887,1
[10*]N1C(=O)C2CCCN2C1=O,-13.39133071899414,2
CC1(F)OC(=O)C(c2ccc(F)cc2)=C1c1ccc2c(c1)NC(=O)CO2,-13.3743896484375,1
[12*]S(=O)(=O)c1cc([16*])c([16*])cc1F,-13.361547470092773,1
[5*]NC1=NN(C(C)=O)C([13*])S1,-13.357855796813965,1
[5*]N1Cc2nc([14*])oc2C1,-13.335661888122559,1
[5*]N1CCN[C@H](C)C1,-13.25970204671224,3
[5*]N1c2cc([16*])ccc2N(C)C(=O)[C@H]1C,-13.24549388885498,1
[13*]C1Nc2cc(Cl)ccc2C2=NCCN21,-13.208819389343262,1
[10*]N1C(=O)NC([13*])C1=O,-13.202892303466797,2
[4*]CCC([8*])O,-13.201160430908203,1
[1*]C(=O)C1=COCCO1,-13.191441535949707,1
[16*]c1cc(Cl)ccc1N,-13.189915657043457,2
[9*]n1cnc2ccc(S([12*])(=O)=O)cc2c1=O,-13.165047645568848,1
[13*][C@@H]1Cn2c(cc3ccccc32)C(=O)N1,-13.154178619384766,1
[15*][C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,-13.120514869689941,1
[9*]n1ccc2c(C)nn([9*])c2c1=O,-13.088940620422363,1
[1*]C(=O)CN1C(=O)C(C)(C)Oc2ccc([16*])cc21,-13.070143699645996,1
[14*]c1sc2nc(C)cc(C)c2c1[16*],-13.019585609436035,1
[15*]C1C[C@H]([15*])[C@@H](O)[C@H]1O,-13.001230239868164,1
[5*]N1CCn2c([14*])cnc2C1C,-12.991415023803711,1
[14*]c1cc2[nH]c([14*])nc2cn1,-12.987508773803711,2
[5*]N1CC2(CCCC2)c2ccc(Cl)cc21,-12.950892448425293,1
[8*]CC1=CCC(=O)N([10*])C1,-12.933735847473145,1
[14*]c1nc(Cl)nc2cc([16*])ccc12,-12.920108795166016,1
[13*][C@H]1CCCCN1,-12.90904426574707,1
[5*]N1[C@H]([13*])CCC[C@@H]1[13*],-12.898164749145508,1
[5*]N1CCc2ccc([16*])cc21,-12.879742622375488,1
[9*]n1c(=O)oc2ccc(Cl)cc21,-12.869399070739746,1
[14*]c1cncc(Cl)n1,-12.861947059631348,1
[4*]C(C)(C)C(C)=O,-12.830733299255371,1
[5*]N1CCC(F)(F)C1,-12.807122230529785,1
[15*]C1CCNC1=O,-12.803925514221191,1
[9*]n1nnc2cc(F)ccc21,-12.708585739135742,1
[9*]n1nnc([14*])c1C,-12.668734550476074,1
[14*]c1nc2sccc2n2cccc12,-12.660123825073242,1
[15*]C1CC(O)C1,-12.646217346191406,1
[5*]N[C@@H]1c2ccccc2C[C@@H]1O,-12.646217346191406,1
[15*]C1CC2COCC(C1)N2,-12.636296272277832,1
[16*]c1cn(S(=O)(=O)CC(C)C)c2ccccc12,-12.636296272277832,1
[14*]c1ncc(C)s1,-12.634119033813477,2
[14*]c1nc(C#N)c(N)o1,-12.63398551940918,1
[3*]OP(=O)(C[8*])O[3*],-12.63398551940918,1
[15*][C@H]1C[C@]2(COC(=O)N2)C1,-12.617571830749512,1
[14*]c1nc(N)nc(O)c1Br,-12.591073036193848,1
[16*]c1ccc2[nH]c(=O)[nH]c2c1,-12.56737232208252,1
[14*]c1cc(=O)n(C)c([14*])n1,-12.561016082763672,2
[10*]N1CCC1=O,-12.545212745666504,1
[15*][C@@H]1CC[C@](C)(N)C1(C)C,-12.545212745666504,1
[16*]c1cc2c([16*])c([16*])cnn2c1,-12.545212745666504,1
[12*]S(=O)(=O)c1c(Cl)cccc1Cl,-12.527329444885254,1
[9*]n1nnc2c(Br)cccc21,-12.513152122497559,1
[15*][C@@H]1CC=CCC1,-12.497782707214355,1
[1*]C(=O)CCC(F)(F)F,-12.44638729095459,1
[15*][C@@H]1CCc2c(C)cc([16*])c(C)c2C1,-12.406291007995605,1
[10*]N1CCOc2cc([16*])ccc2C1=O,-12.404498100280762,1
[16*]c1cc(Cl)c(F)cc1C,-12.394735336303711,1
[5*]N1CCOc2c(Cl)cccc21,-12.369193077087402,1
[14*]c1ncnc2c(C)cccc12,-12.356620788574219,1
[12*]S(=O)(=O)c1c(C)cc([16*])cc1C,-12.325573921203613,1
[5*]N1CCC[C@@]2(C)[C@]3(C)CCC[C@]12OC(=O)C3,-12.315496444702148,1
[10*]N1C[C@@H]([13*])N(C)C1=O,-12.314457893371582,1
[9*]n1c([14*])c([16*])c2cc(Br)cnc2c1=O,-12.308202743530273,1
[14*]c1oc2c([16*])cc(Cl)cc2c1C,-12.295964241027832,1
[5*]N1CCOC[C@@H]([15*])C1,-12.295964241027832,1
[5*]N1CC(=O)N([10*])CC(O)C1,-12.284451802571615,3
[16*]c1c(C)n(C)c2ccc(O)cc12,-12.284099578857422,1
[5*]N1CC([15*])(C2CCC2)C1,-12.28210735321045,1
[1*]C(=O)[C@H]([8*])C,-12.280009269714355,1
[14*]c1ncnc2onc(C)c12,-12.214339256286621,2
[5*]N1C2=NCCCN2c2ccccc21,-12.208752632141113,1
[14*]c1cc(C)cc(C)n1,-12.193345069885254,1
[16*]c1cccc(S(F)(F)(F)(F)F)c1,-12.176722526550293,2
[14*]c1cc(=O)n2nc(C)c([16*])c2[nH]1,-12.156293869018555,1
[16*]c1cn[nH]c1N,-12.146486282348633,1
[9*]n1cc(C)cc1[14*],-12.131806373596191,1
[16*]c1cccc2c1NC(=O)C2,-12.10205078125,1
[5*]N[C@H]1CC2(CCN([5*])CC2)Oc2ccc(Br)cc21,-12.10205078125,1
[11*]SC(=O)C(C)C,-12.094586372375488,1
[8*]C(C)C(CC)CC,-12.094586372375488,1
[13*][C@H]1CCC(=O)N1C,-12.05910873413086,1
[5*]N1CCc2nc(C)nc(C)c2C1,-12.047346115112305,1
[5*]NC1=NCCCCC1,-12.023159980773926,1
[8*][C@@H](C)CCC,-12.01846694946289,1
[15*][C@H]1C[C@H]([15*])C1,-11.996216773986816,1
[10*]N1C(=O)NC(=O)/C(=C/N2CCC([15*])CC2)C1=O,-11.963911056518555,1
[13*]C1N=NN(C2NON=C2N)C1[13*],-11.944649696350098,1
[9*]n1c(C)c([16*])c2cc([16*])ccc21,-11.908036231994629,2
[14*]c1nc2c(N)nc(C#CC3CCCC3)nc2n1C,-11.881794929504395,1
[4*]CC1CN([5*])Cc2nn([9*])cc21,-11.878658294677734,1
[16*]c1cc(Cl)c(N)c(Cl)c1,-11.878375053405762,1
[5*]N1C[C@@H](C)N([5*])[C@@H](C)C1,-11.878375053405762,1
Cc1sc2c(c1C)COCc1nnc(C)n1-2,-11.863293647766113,1
[5*]N1CCc2nc([14*])n(N(C)C)c(=O)c2C1,-11.851059913635254,1
[9*]n1nc2ccccc2c1[14*],-11.80891227722168,1
[14*]c1ccc2nc(O)c3cnc(C)n3c2n1,-11.807047843933105,1
[14*]c1n/c(=N\C2CCCCC2)sn1C,-11.784918785095215,1
[16*]c1cn(C)c2ccc(O)cc12,-11.782735824584961,1
[5*]N1CCC(F)CC1,-11.70363712310791,1
[9*]n1cc([16*])c(=O)c2ccc(C)cc21,-11.702814102172852,1
[14*]c1nc([14*])c2c(n1)C(F)(F)CC2,-11.68207836151123,1
[10*]N1CCCNC1=O,-11.66954517364502,1
[13*][C@@H]1OCCNC[C@H]1[15*],-11.66954517364502,1
[5*]N1CC(F)(F)C1,-11.650359153747559,1
[10*]N1C(=O)[C@H]([13*])N2CCC[C@H]2C1=O,-11.597283363342285,1
[9*]n1nnc([14*])c1N,-11.595705032348633,2
[5*]N1C[C@@H]2[C@@H]([15*])[C@@H]2C1,-11.582535743713379,2
[15*][C@H]1C[C@H]2CC[C@@H](C1)S2(=O)=O,-11.541508674621582,1
[16*]c1cc([16*])c2[nH]cc([16*])c2c1,-11.541508674621582,1
[14*]c1nnc2n1C(C)(C)Cc1ccccc1-2,-11.529964447021484,1
[15*][C@H]1CCN(S(=O)(=O)N2CCOCC2)C1,-11.49429988861084,1
[14*]c1onc(C)c1[16*],-11.465367317199707,1
[5*]N1CCC2(CC1)NC(=O)[C@H](C)O2,-11.465367317199707,1
[4*]CCCS(=O)(=O)C(C)C,-11.455850601196289,1
[4*]C[C@H]([4*])C(CC)CC,-11.418944358825684,1
[10*]N1C(=O)C2(N=C1N)c1cc(Br)ccc1OC21CCc2ccccc2CC1,-11.397119522094727,1
[15*][C@@H]1CNC[C@@H]1[15*],-11.369664192199707,1
[9*]n1cc([16*])c(=O)c2[nH]c(=O)ccc21,-11.35702896118164,1
[16*]c1c[nH]c2cc(C)ccc12,-11.34017276763916,1
[8*]CC[C@H]1c2cc([16*])c([16*])cc2CCN1C=O,-11.34017276763916,1
[9*]n1nc(C)c2c1NC(=O)C[C@H]2C(C)(C)C,-11.317072868347168,1
[14*]c1cc2cc(Cl)cc(Cl)c2[nH]1,-11.30736255645752,1
[13*][C@H]1NCCC[C@@H]1O,-11.300227165222168,1
[9*]n1cnc2cccc(F)c2c1=O,-11.300227165222168,1
[5*]N1CC[C@@](C)(O)C1,-11.296528816223145,1
[3*]OC1=NCCN1,-11.29297161102295,1
[5*]NC1=NC([13*])CN1C,-11.290217399597168,1
[5*]NC1=NC[C@@]2(CN3CCC2CC3)O1,-11.27747917175293,1
[9*]n1cccc(C)c1=O,-11.2703218460083,1
[5*]N1CCOCC([15*])(O)C1,-11.25232982635498,1
[1*]C(=O)C(C)(O)C[4*],-11.25195566813151,3
[16*]c1cc(O)cc2c1OCC(=O)N2,-11.251942952473959,3
[5*]N1CCCC([15*])(C)C1,-11.24951457977295,2
[5*]N1CC([13*])Oc2ccccc21,-11.235921859741211,1
[16*]c1cc(C2CC(=O)Nc3c2c(=O)[nH]c2nc4ccccc4n32)ccc1O,-11.227108001708984,1
[5*]N1CCCOCC1,-11.129284858703613,2
[14*]c1nc2sc3c(c2c2ncnn12)C(C)CCC3,-11.12621021270752,1
[16*]c1c(N)nn2cc(F)cnc12,-11.123235702514648,1
[9*]n1c(C)cc2cc([16*])ccc21,-11.112833976745605,1
[5*]NC1=NC(=O)[C@H]([13*])S1,-11.094813346862793,1
[13*]C1CC(c2ccc(Cl)cc2)=NO1,-11.094199180603027,1
[14*]c1nc(N)nc(C)c1Cl,-11.086695671081543,1
[5*]N1CCC2(CC1)CCN(C)C2,-11.086695671081543,1
[5*]N1CC[C@@H]([15*])[C@@H]1[13*],-11.0783052444458,1
[4*]C(C)(C)CC[8*],-11.077816009521484,1
[5*]N1C[C@@H]2COC[C@]2([15*])C1,-11.068408012390137,2
[8*]CN1C(=O)CCn2nccc21,-11.048821449279785,1
[5*]N1CC([15*])(F)C1,-11.03654956817627,1
[9*]n1nc(N)c(Cl)c1C,-11.034222602844238,1
[14*]c1cc([16*])cc(C)n1,-11.012590408325195,1
[14*]c1sccc1Cl,-10.980398178100586,1
[14*]c1ncc[nH]1,-10.949324289957682,3
[9*]n1c2ccoc2c2c([14*])ncnc21,-10.94591999053955,1
[9*]n1nc2ccc([16*])cc2n1,-10.945771217346191,1
[14*]c1ncc(Cl)cc1C,-10.923140525817871,1
[14*]c1nc2ccc(S(C)(=O)=O)cc2s1,-10.910545349121094,1
[5*]N1CCC2(CCCN([5*])C2)CC1,-10.906516075134277,2
[1*]C(=O)C(C)CCC,-10.903124809265137,1
[14*]c1ccc([16*])c2ncnn12,-10.90152359008789,1
[16*]c1ccc(C(=N)NOC)cc1,-10.90152359008789,1
[10*]N1C[C@@H](C)n2nc([14*])cc2C1=O,-10.898332595825195,2
[4*]CC1CN([5*])Cc2c1cnn2C,-10.888747215270996,1
[9*]n1c(C)c([16*])c2c([16*])cccc21,-10.846268653869629,1
[16*]c1ccc2c(c1)C(O)(C(F)(F)F)c1ccccc1-2,-10.837817192077637,1
[12*]S(=O)(=O)c1cccc(F)c1,-10.823969841003418,2
[9*]n1nc(C)c2c1nc(C)n1nc([14*])nc21,-10.82180118560791,1
[14*]c1ncc2cc([16*])c(=O)[nH]c2n1,-10.80991268157959,1
[14*]c1cc2nc([14*])nn2c(N)n1,-10.782546043395996,2
[16*]c1ccc2c(c1)C(=O)NC(=O)C2,-10.764567375183105,1
[14*]c1ccc2nnc(C)n2n1,-10.764555931091309,1
[9*]n1c([14*])nc2c(N)ccnc21,-10.75654125213623,1
Cc1ccc(S(=O)(=O)/N=C(\CCl)N2CCOCC2)cc1,-10.739706039428711,1
[16*]c1cscc1[16*],-10.736815452575684,1
[9*]n1nc2c(c1[14*])C(=O)CC(C)(C)C2,-10.722047805786133,1
[5*]N1CCC2(CC1)CN([5*])c1ccccc12,-10.696110725402832,1
[10*]N1CCc2c(Cl)cc([16*])c(Cl)c2C1=O,-10.683369954427084,3
[9*]n1nc(C)cc1N,-10.674118995666504,1
[9*]n1ncc2c([16*])ccnc21,-10.667155265808105,1
[14*]c1ccnc(C)n1,-10.665186882019043,4
Cc1sc(C)c2c1CCCc1cnn(C)c1-2,-10.66467571258545,1
[16*]c1cc(C)c(=O)n(C)c1,-10.639800071716309,1
[9*]n1c([14*])nc2cc([16*])cnc21,-10.639800071716309,1
[5*]N1CCc2c(ccc([16*])c2[16*])C1,-10.632349967956543,1
[15*]C1CCC(C)(C)CC1,-10.60208511352539,1
[14*]c1ccnc(C#N)n1,-10.596783638000488,1
[5*]N1CC[C@@H](S(=O)(=O)c2ccccc2Br)C1,-10.596783638000488,1
[15*]C1CNc2ccnn2C1,-10.58642864227295,1
[16*]c1cc(C)nc2cc(F)ccc12,-10.580811500549316,1
[15*][C@H]1CCCCNC1=O,-10.578018188476562,2
[6*]C(=O)n1cc(Cl)cn1,-10.569586753845215,1
[14*]c1ncnc2oc(C)nc12,-10.559995651245117,1
[14*]c1nccc2[nH]nc([14*])c12,-10.551138877868652,2
[14*]c1cc2cc([16*])c([16*])cc2c(C)n1,-10.54532241821289,1
[16*]c1cccc2c1C(=O)CC2,-10.5429048538208,1
[1*]C(=O)CN1C(=O)CCOc2ccccc21,-10.534367561340332,1
[14*]c1c(C)c(=O)[nH]c(=O)n1C,-10.524166107177734,1
[14*]c1ncc(Cl)c(C)c1Cl,-10.524166107177734,1
[8*]C([8*])([8*])C,-10.523348808288574,1
[5*]N1CC[C@@]2(O)CCNC[C@H]2C1,-10.50771427154541,1
[13*]C1CC(c2ccc3c(c2)OCCO3)=NN1c1ccccc1,-10.485879898071289,1
[5*]N1CCCC([15*])(O)CC1,-10.459330558776855,1
[12*]S(=O)(=O)c1ccc(Cl)cc1[16*],-10.456089973449707,1
[13*]C1NC(=O)NC1=O,-10.456089973449707,1
[15*][C@@H]1C=C(CO)[C@@H](O)[C@H]1O,-10.452664375305176,1
[1*]C(=O)C1=C2Nc3ccccc3[C@@]23CCN2C(=O)C=C[C@@]([15*])(C1)[C@H]23,-10.42833423614502,1
[14*]c1ncoc1C,-10.419584274291992,1
[5*]N1CCc2nc(N)nc([14*])c2CC1,-10.419584274291992,1
[14*]c1nc(C)c([16*])c([16*])c1[16*],-10.411600112915039,2
[1*]C(=O)C([8*])C[8*],-10.410888671875,1
[14*]c1[nH]c2cccnc2c1C#N,-10.409122467041016,1
[16*]c1cc(F)c2nccc([16*])c2c1,-10.390616416931152,1
[5*]N1CCC([15*])C(F)C1,-10.390616416931152,1
